Region,Org Code,Provider name,Modality, Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Year 
 Y56 , NT9 , Alliance Medical , Computerized Axial Tomography , 495 , 440 , 495 , 445 , 400 , 400 , 475 , 425 , 390 , 450 , 420 , 310 ," 5,145 "
 Y56 , NT9 , Alliance Medical , Diagnostic Ultrasonography , 155 , 170 , 120 , 225 , 265 , 220 , 215 , 255 , 230 , 260 , 240 , 135 ," 2,495 "
 Y56 , NT9 , Alliance Medical , Magnetic Resonance Imaging ," 1,480 "," 1,480 "," 1,365 "," 1,520 "," 1,530 "," 1,485 "," 1,645 "," 1,575 "," 1,515 "," 1,870 "," 1,755 "," 1,515 "," 18,740 "
 Y56 , NT9 , Alliance Medical , Nuclear Medicine Procedure , . , . , . , . , . , . , . , . , . , * , . , . , * 
 Y56 , NT9 , Alliance Medical , Plain Radiography , 65 , 105 , 60 , 75 , 85 , 135 , 105 , 65 , 75 , 100 , 85 , 45 , 990 
 Y56 , NT9 , Alliance Medical , Positron Emission Tomography , 200 , 220 , 230 , 330 , 265 , 280 , 335 , 325 , 305 , 375 , 335 , 270 ," 3,465 "
 Y56 , RF4 ," Barking, Havering and Redbridge University Hospitals NHS Trust ", Computerized Axial Tomography ," 4,730 "," 5,130 "," 4,785 "," 4,775 "," 5,080 "," 5,035 "," 5,430 "," 4,985 "," 5,045 "," 5,220 "," 4,815 "," 3,905 "," 58,940 "
 Y56 , RF4 ," Barking, Havering and Redbridge University Hospitals NHS Trust ", Diagnostic Ultrasonography ," 15,050 "," 15,950 "," 15,460 "," 16,230 "," 15,990 "," 16,795 "," 17,895 "," 16,540 "," 15,225 "," 15,915 "," 14,305 "," 12,000 "," 187,365 "
 Y56 , RF4 ," Barking, Havering and Redbridge University Hospitals NHS Trust ", Fluoroscopy , 525 , 525 , 575 , 595 , 515 , 540 , 635 , 520 , 480 , 555 , 540 , 405 ," 6,410 "
 Y56 , RF4 ," Barking, Havering and Redbridge University Hospitals NHS Trust ", Magnetic Resonance Imaging ," 3,525 "," 3,645 "," 3,670 "," 3,655 "," 3,525 "," 3,545 "," 3,655 "," 3,630 "," 3,760 "," 3,945 "," 3,695 "," 2,920 "," 43,175 "
 Y56 , RF4 ," Barking, Havering and Redbridge University Hospitals NHS Trust ", Nuclear Medicine Procedure , 420 , 465 , 445 , 460 , 360 , 450 , 460 , 435 , 360 , 510 , 390 , 320 ," 5,080 "
 Y56 , RF4 ," Barking, Havering and Redbridge University Hospitals NHS Trust ", Plain Radiography ," 22,805 "," 24,340 "," 23,030 "," 24,835 "," 22,110 "," 23,490 "," 24,360 "," 23,610 "," 22,420 "," 25,375 "," 22,875 "," 17,525 "," 276,775 "
 Y56 , RF4 ," Barking, Havering and Redbridge University Hospitals NHS Trust ", Single Photon Emission Computerized Tomography , 60 , 60 , 45 , 45 , 60 , 70 , 70 , 70 , 80 , 90 , 70 , 50 , 765 
 Y56 , R1H , Barts Health NHS Trust , Computerized Axial Tomography ," 8,715 "," 9,455 "," 8,615 "," 9,680 "," 9,270 "," 9,185 "," 9,845 "," 9,320 "," 8,880 "," 9,630 "," 9,070 "," 7,155 "," 108,820 "
 Y56 , R1H , Barts Health NHS Trust , Diagnostic Ultrasonography ," 19,755 "," 21,640 "," 20,425 "," 21,435 "," 20,290 "," 19,805 "," 22,185 "," 21,780 "," 20,515 "," 24,975 "," 25,905 "," 20,180 "," 258,890 "
 Y56 , R1H , Barts Health NHS Trust , Fluoroscopy ," 1,495 "," 1,685 "," 1,580 "," 1,780 "," 1,605 "," 1,635 "," 1,765 "," 1,755 "," 1,525 "," 1,725 "," 1,575 "," 1,205 "," 19,330 "
 Y56 , R1H , Barts Health NHS Trust , Magnetic Resonance Imaging ," 4,450 "," 4,945 "," 4,860 "," 5,020 "," 4,875 "," 4,625 "," 4,815 "," 5,320 "," 4,935 "," 5,335 "," 4,620 "," 3,930 "," 57,725 "
 Y56 , R1H , Barts Health NHS Trust , Nuclear Medicine Procedure , 785 , 780 , 770 , 875 , 710 , 675 , 800 , 770 , 555 , 755 , 580 , 380 ," 8,435 "
 Y56 , R1H , Barts Health NHS Trust , Plain Radiography ," 34,465 "," 36,615 "," 34,170 "," 37,395 "," 32,950 "," 34,545 "," 36,870 "," 35,385 "," 32,055 "," 36,880 "," 32,705 "," 24,645 "," 408,670 "
 Y56 , R1H , Barts Health NHS Trust , Positron Emission Tomography , 330 , 395 , 360 , 405 , 300 , 360 , 435 , 440 , 390 , 590 , 610 , 520 ," 5,130 "
 Y56 , R1H , Barts Health NHS Trust , Single Photon Emission Computerized Tomography , 10 , 20 , 10 , 15 , 10 , 10 , 15 , 25 , 5 , 15 , 5 , 5 , 140 
 Y56 , NT4 , BMI Healthcare , Computerized Axial Tomography , 65 , 90 , 90 , 105 , 70 , 95 , 80 , 50 , 55 , 35 , 60 , 60 , 840 
 Y56 , NT4 , BMI Healthcare , Diagnostic Ultrasonography , 140 , 210 , 340 , 375 , 380 , 370 , 295 , 375 , 245 , 295 , 190 , 200 ," 3,410 "
 Y56 , NT4 , BMI Healthcare , Fluoroscopy , 35 , 40 , 30 , 45 , 50 , 65 , 50 , 55 , 25 , 25 , 10 , 5 , 430 
 Y56 , NT4 , BMI Healthcare , Magnetic Resonance Imaging , 205 , 255 , 225 , 185 , 255 , 185 , 235 , 185 , 220 , 255 , 210 , 225 ," 2,635 "
 Y56 , NT4 , BMI Healthcare , Nuclear Medicine Procedure , . , . , * , . , . , . , * , . , . , . , . , . , 5 
 Y56 , NT4 , BMI Healthcare , Plain Radiography , 110 , 160 , 135 , 135 , 175 , 180 , 100 , 225 , 105 , 140 , 105 , 75 ," 1,645 "
 Y56 , RQM , Chelsea and Westminster Hospital NHS Foundation Trust , Computerized Axial Tomography ," 4,440 "," 4,675 "," 4,500 "," 5,120 "," 4,755 "," 4,395 "," 5,090 "," 3,740 "," 3,495 "," 3,830 "," 3,500 "," 3,380 "," 50,920 "
 Y56 , RQM , Chelsea and Westminster Hospital NHS Foundation Trust , Diagnostic Ultrasonography ," 9,435 "," 10,555 "," 9,500 "," 10,550 "," 9,655 "," 10,130 "," 10,675 "," 11,015 "," 9,890 "," 10,985 "," 10,020 "," 8,760 "," 121,170 "
 Y56 , RQM , Chelsea and Westminster Hospital NHS Foundation Trust , Fluoroscopy , 395 , 375 , 365 , 415 , 390 , 385 , 425 , 290 , 265 , 305 , 275 , 295 ," 4,175 "
 Y56 , RQM , Chelsea and Westminster Hospital NHS Foundation Trust , Magnetic Resonance Imaging ," 2,345 "," 2,630 "," 2,440 "," 2,695 "," 2,625 "," 2,525 "," 2,610 "," 1,700 "," 1,720 "," 1,985 "," 1,925 "," 1,950 "," 27,145 "
 Y56 , RQM , Chelsea and Westminster Hospital NHS Foundation Trust , Nuclear Medicine Procedure , 340 , 395 , 340 , 355 , 305 , 280 , 285 , 80 , 65 , 85 , 100 , 180 ," 2,805 "
 Y56 , RQM , Chelsea and Westminster Hospital NHS Foundation Trust , Plain Radiography ," 19,455 "," 20,765 "," 19,480 "," 20,900 "," 18,610 "," 19,515 "," 20,960 "," 15,875 "," 15,265 "," 17,255 "," 15,155 "," 13,845 "," 217,085 "
 Y56 , RQM , Chelsea and Westminster Hospital NHS Foundation Trust , Single Photon Emission Computerized Tomography , 25 , 25 , 25 , 35 , 25 , 20 , 40 , 10 , 5 , 5 , 10 , 15 , 230 
 Y56 , RJ6 , Croydon Health Services NHS Trust , Computerized Axial Tomography ," 1,885 "," 2,070 "," 1,880 "," 2,175 "," 1,980 "," 2,005 "," 2,075 "," 2,130 "," 2,040 "," 2,210 "," 2,090 "," 1,840 "," 24,385 "
